// SpatialAnalyzer SA 2018.12.07_49785 ( x64 )  
// Points Relative to Coordinate Frame 'Block frame calcs 16Apr19::Block 1 frame'
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Group,  Point,  X,  Y,  Z

Block 1 Center Split points projected,  Block 1 Center Split_3 on object,  -4.8,  -0.1,  -1265.3
Block 1 Center Split points projected,  Block 1 Center Split_4 on object,  -4.9,  -0.1,  -1253.6
Block 1 Center Split points projected,  Block 1 Center Split_5 on object,  -4.8,  -0.1,  -1243.1
Block 1 Center Split points projected,  Block 1 Center Split_6 on object,  -4.6,  -0.1,  -1232.5
Block 1 Center Split points projected,  Block 1 Center Split_7 on object,  -4.0,  -0.1,  -1221.8
Block 1 Center Split points projected,  Block 1 Center Split_8 on object,  -4.7,  -0.1,  -1211.2
Block 1 Center Split points projected,  Block 1 Center Split_9 on object,  -4.7,  -0.1,  -1199.6
Block 1 Center Split points projected,  Block 1 Center Split_10 on object,  -5.2,  -0.1,  -1188.9
Block 1 Center Split points projected,  Block 1 Center Split_11 on object,  -5.1,  -0.1,  -1178.2
Block 1 Center Split points projected,  Block 1 Center Split_12 on object,  -4.9,  -0.1,  -1166.5
Block 1 Center Split points projected,  Block 1 Center Split_13 on object,  -5.4,  -0.1,  -1156.2
Block 1 Center Split points projected,  Block 1 Center Split_14 on object,  -6.8,  -0.1,  -1145.9
Block 1 Center Split points projected,  Block 1 Center Split_15 on object,  -7.3,  -0.1,  -1135.0
Block 1 Center Split points projected,  Block 1 Center Split_16 on object,  -7.1,  -0.1,  -1124.4
Block 1 Center Split points projected,  Block 1 Center Split_17 on object,  -5.0,  -0.1,  -1113.0
Block 1 Center Split points projected,  Block 1 Center Split_18 on object,  -4.6,  -0.1,  -1101.9
Block 1 Center Split points projected,  Block 1 Center Split_19 on object,  -4.6,  -0.1,  -1090.6
Block 1 Center Split points projected,  Block 1 Center Split_20 on object,  -4.6,  -0.1,  -1078.2
Block 1 Center Split points projected,  Block 1 Center Split_21 on object,  -4.6,  -0.1,  -1068.2
Block 1 Center Split points projected,  Block 1 Center Split_22 on object,  -4.5,  -0.1,  -1057.2
Block 1 Center Split points projected,  Block 1 Center Split_23 on object,  -4.5,  -0.1,  -1046.8
Block 1 Center Split points projected,  Block 1 Center Split_24 on object,  -4.4,  -0.1,  -1034.7
Block 1 Center Split points projected,  Block 1 Center Split_25 on object,  -4.4,  -0.1,  -1022.7
Block 1 Center Split points projected,  Block 1 Center Split_26 on object,  -4.4,  -0.1,  -1011.4
Block 1 Center Split points projected,  Block 1 Center Split_27 on object,  -4.3,  -0.1,  -1000.9
Block 1 Center Split points projected,  Block 1 Center Split_28 on object,  -4.2,  -0.1,  -989.8
Block 1 Center Split points projected,  Block 1 Center Split_29 on object,  -4.2,  -0.1,  -979.5
Block 1 Center Split points projected,  Block 1 Center Split_30 on object,  -4.2,  -0.1,  -968.4
Block 1 Center Split points projected,  Block 1 Center Split_31 on object,  -4.1,  -0.1,  -958.1
Block 1 Center Split points projected,  Block 1 Center Split_32 on object,  -4.1,  -0.1,  -947.4
Block 1 Center Split points projected,  Block 1 Center Split_33 on object,  -4.1,  -0.1,  -937.0
Block 1 Center Split points projected,  Block 1 Center Split_34 on object,  -4.0,  -0.1,  -926.6
Block 1 Center Split points projected,  Block 1 Center Split_35 on object,  -4.0,  -0.1,  -916.0
Block 1 Center Split points projected,  Block 1 Center Split_36 on object,  -4.4,  -0.1,  -905.8
Block 1 Center Split points projected,  Block 1 Center Split_37 on object,  -4.0,  -0.1,  -895.0
Block 1 Center Split points projected,  Block 1 Center Split_38 on object,  -3.9,  -0.1,  -883.2
Block 1 Center Split points projected,  Block 1 Center Split_39 on object,  -3.9,  -0.1,  -872.2
Block 1 Center Split points projected,  Block 1 Center Split_40 on object,  -3.8,  -0.1,  -862.0
Block 1 Center Split points projected,  Block 1 Center Split_41 on object,  -3.8,  -0.1,  -851.2
Block 1 Center Split points projected,  Block 1 Center Split_42 on object,  -3.7,  -0.1,  -838.9
Block 1 Center Split points projected,  Block 1 Center Split_43 on object,  -3.7,  -0.1,  -826.1
Block 1 Center Split points projected,  Block 1 Center Split_44 on object,  -3.7,  -0.1,  -815.2
Block 1 Center Split points projected,  Block 1 Center Split_45 on object,  -3.6,  -0.1,  -803.7
Block 1 Center Split points projected,  Block 1 Center Split_46 on object,  -3.6,  -0.1,  -793.1
Block 1 Center Split points projected,  Block 1 Center Split_47 on object,  -3.6,  -0.1,  -782.2
Block 1 Center Split points projected,  Block 1 Center Split_48 on object,  -3.5,  -0.1,  -770.3
Block 1 Center Split points projected,  Block 1 Center Split_49 on object,  -3.4,  -0.1,  -759.5
Block 1 Center Split points projected,  Block 1 Center Split_50 on object,  -3.4,  -0.1,  -748.2
Block 1 Center Split points projected,  Block 1 Center Split_51 on object,  -3.3,  -0.1,  -736.8
Block 1 Center Split points projected,  Block 1 Center Split_52 on object,  -3.3,  -0.1,  -726.7
Block 1 Center Split points projected,  Block 1 Center Split_53 on object,  -3.2,  -0.1,  -716.3
Block 1 Center Split points projected,  Block 1 Center Split_54 on object,  -3.2,  -0.1,  -705.6
Block 1 Center Split points projected,  Block 1 Center Split_55 on object,  -3.2,  -0.1,  -695.5
Block 1 Center Split points projected,  Block 1 Center Split_56 on object,  -3.1,  -0.1,  -684.9
Block 1 Center Split points projected,  Block 1 Center Split_57 on object,  -3.1,  -0.1,  -674.8
Block 1 Center Split points projected,  Block 1 Center Split_58 on object,  -3.0,  -0.1,  -664.2
Block 1 Center Split points projected,  Block 1 Center Split_59 on object,  -2.9,  -0.0,  -653.3
Block 1 Center Split points projected,  Block 1 Center Split_60 on object,  -2.9,  -0.0,  -643.1
Block 1 Center Split points projected,  Block 1 Center Split_61 on object,  -2.9,  -0.0,  -632.4
Block 1 Center Split points projected,  Block 1 Center Split_62 on object,  -2.9,  -0.0,  -621.6
Block 1 Center Split points projected,  Block 1 Center Split_63 on object,  -2.8,  -0.0,  -610.7
Block 1 Center Split points projected,  Block 1 Center Split_64 on object,  -2.7,  -0.0,  -600.7
Block 1 Center Split points projected,  Block 1 Center Split_65 on object,  -2.7,  -0.0,  -588.9
Block 1 Center Split points projected,  Block 1 Center Split_66 on object,  -2.6,  -0.0,  -577.6
Block 1 Center Split points projected,  Block 1 Center Split_67 on object,  -2.5,  -0.0,  -567.4
Block 1 Center Split points projected,  Block 1 Center Split_68 on object,  -2.4,  -0.0,  -556.5
Block 1 Center Split points projected,  Block 1 Center Split_69 on object,  -2.4,  -0.0,  -545.2
Block 1 Center Split points projected,  Block 1 Center Split_70 on object,  -2.4,  -0.0,  -534.5
Block 1 Center Split points projected,  Block 1 Center Split_71 on object,  -2.3,  -0.0,  -523.4
Block 1 Center Split points projected,  Block 1 Center Split_72 on object,  -2.3,  -0.0,  -512.6
Block 1 Center Split points projected,  Block 1 Center Split_73 on object,  -2.2,  -0.0,  -502.0
Block 1 Center Split points projected,  Block 1 Center Split_74 on object,  -2.2,  -0.0,  -490.9
Block 1 Center Split points projected,  Block 1 Center Split_75 on object,  -2.1,  -0.0,  -479.8
Block 1 Center Split points projected,  Block 1 Center Split_76 on object,  -2.1,  -0.0,  -469.2
Block 1 Center Split points projected,  Block 1 Center Split_77 on object,  -2.2,  -0.0,  -457.7
Block 1 Center Split points projected,  Block 1 Center Split_78 on object,  -2.0,  -0.0,  -446.9
Block 1 Center Split points projected,  Block 1 Center Split_79 on object,  -2.3,  -0.0,  -436.5
Block 1 Center Split points projected,  Block 1 Center Split_80 on object,  -2.2,  -0.0,  -424.8
Block 1 Center Split points projected,  Block 1 Center Split_81 on object,  -2.2,  -0.0,  -414.0
Block 1 Center Split points projected,  Block 1 Center Split_82 on object,  -1.9,  -0.0,  -402.8
Block 1 Center Split points projected,  Block 1 Center Split_83 on object,  0.3,  0.0,  142.1
Block 1 Center Split points projected,  Block 1 Center Split_84 on object,  0.4,  0.0,  154.2
Block 1 Center Split points projected,  Block 1 Center Split_85 on object,  0.5,  0.0,  164.4
Block 1 Center Split points projected,  Block 1 Center Split_86 on object,  0.6,  0.0,  175.2
Block 1 Center Split points projected,  Block 1 Center Split_87 on object,  0.6,  0.0,  186.5
Block 1 Center Split points projected,  Block 1 Center Split_88 on object,  0.7,  0.0,  197.3
Block 1 Center Split points projected,  Block 1 Center Split_89 on object,  0.7,  0.0,  207.8
Block 1 Center Split points projected,  Block 1 Center Split_90 on object,  0.8,  0.0,  219.7
Block 1 Center Split points projected,  Block 1 Center Split_91 on object,  0.8,  0.0,  230.0
Block 1 Center Split points projected,  Block 1 Center Split_92 on object,  0.8,  0.0,  240.7
Block 1 Center Split points projected,  Block 1 Center Split_93 on object,  0.9,  0.0,  251.3
Block 1 Center Split points projected,  Block 1 Center Split_94 on object,  1.0,  0.0,  261.5
Block 1 Center Split points projected,  Block 1 Center Split_95 on object,  1.1,  0.0,  273.9
Block 1 Center Split points projected,  Block 1 Center Split_96 on object,  1.1,  0.0,  284.2
Block 1 Center Split points projected,  Block 1 Center Split_97 on object,  1.1,  0.0,  294.2
Block 1 Center Split points projected,  Block 1 Center Split_98 on object,  1.1,  0.0,  304.4
Block 1 Center Split points projected,  Block 1 Center Split_99 on object,  1.2,  0.0,  316.1
Block 1 Center Split points projected,  Block 1 Center Split_100 on object,  1.3,  0.0,  327.0
Block 1 Center Split points projected,  Block 1 Center Split_101 on object,  1.3,  0.0,  338.7
Block 1 Center Split points projected,  Block 1 Center Split_102 on object,  1.4,  0.0,  348.7
Block 1 Center Split points projected,  Block 1 Center Split_103 on object,  1.4,  0.0,  361.1
Block 1 Center Split points projected,  Block 1 Center Split_104 on object,  1.4,  0.0,  373.4
Block 1 Center Split points projected,  Block 1 Center Split_105 on object,  1.5,  0.0,  385.2
Block 1 Center Split points projected,  Block 1 Center Split_106 on object,  1.5,  0.0,  396.0
Block 1 Center Split points projected,  Block 1 Center Split_107 on object,  1.6,  0.0,  408.3
Block 1 Center Split points projected,  Block 1 Center Split_108 on object,  1.7,  0.0,  418.5
Block 1 Center Split points projected,  Block 1 Center Split_109 on object,  1.7,  0.0,  430.6
Block 1 Center Split points projected,  Block 1 Center Split_110 on object,  1.7,  0.0,  442.5
Block 1 Center Split points projected,  Block 1 Center Split_111 on object,  1.8,  0.0,  453.2
Block 1 Center Split points projected,  Block 1 Center Split_112 on object,  1.8,  0.0,  464.2
Block 1 Center Split points projected,  Block 1 Center Split_113 on object,  1.9,  0.0,  477.0
Block 1 Center Split points projected,  Block 1 Center Split_114 on object,  2.0,  0.0,  489.0
Block 1 Center Split points projected,  Block 1 Center Split_115 on object,  2.0,  0.0,  499.6
Block 1 Center Split points projected,  Block 1 Center Split_116 on object,  2.0,  0.0,  512.6
Block 1 Center Split points projected,  Block 1 Center Split_117 on object,  2.1,  0.0,  523.9
Block 1 Center Split points projected,  Block 1 Center Split_118 on object,  2.1,  0.0,  534.7
Block 1 Center Split points projected,  Block 1 Center Split_119 on object,  2.2,  0.0,  546.7
Block 1 Center Split points projected,  Block 1 Center Split_120 on object,  2.3,  0.0,  559.7
Block 1 Center Split points projected,  Block 1 Center Split_121 on object,  2.3,  0.0,  574.0
Block 1 Center Split points projected,  Block 1 Center Split_122 on object,  2.4,  0.0,  586.0
Block 1 Center Split points projected,  Block 1 Center Split_123 on object,  2.4,  0.0,  599.5
Block 1 Center Split points projected,  Block 1 Center Split_124 on object,  2.5,  0.0,  609.5
Block 1 Center Split points projected,  Block 1 Center Split_125 on object,  2.6,  0.0,  621.9
Block 1 Center Split points projected,  Block 1 Center Split_126 on object,  2.6,  0.0,  634.1
Block 1 Center Split points projected,  Block 1 Center Split_127 on object,  2.7,  0.0,  645.4
Block 1 Center Split points projected,  Block 1 Center Split_128 on object,  2.7,  0.0,  657.6
Block 1 Center Split points projected,  Block 1 Center Split_129 on object,  2.8,  0.0,  670.9
Block 1 Center Split points projected,  Block 1 Center Split_130 on object,  2.8,  0.0,  683.0
Block 1 Center Split points projected,  Block 1 Center Split_131 on object,  2.9,  0.1,  695.5
Block 1 Center Split points projected,  Block 1 Center Split_132 on object,  2.9,  0.1,  708.3
Block 1 Center Split points projected,  Block 1 Center Split_133 on object,  2.9,  0.1,  718.9
Block 1 Center Split points projected,  Block 1 Center Split_134 on object,  3.0,  0.1,  732.0
Block 1 Center Split points projected,  Block 1 Center Split_135 on object,  3.1,  0.1,  745.8
Block 1 Center Split points projected,  Block 1 Center Split_136 on object,  3.1,  0.1,  756.1
Block 1 Center Split points projected,  Block 1 Center Split_137 on object,  3.1,  0.1,  768.3
Block 1 Center Split points projected,  Block 1 Center Split_138 on object,  3.1,  0.1,  778.8
Block 1 Center Split points projected,  Block 1 Center Split_139 on object,  3.2,  0.1,  790.8
Block 1 Center Split points projected,  Block 1 Center Split_140 on object,  3.3,  0.1,  801.0
Block 1 Center Split points projected,  Block 1 Center Split_141 on object,  3.4,  0.1,  813.4
Block 1 Center Split points projected,  Block 1 Center Split_142 on object,  3.4,  0.1,  825.5
Block 1 Center Split points projected,  Block 1 Center Split_143 on object,  3.4,  0.1,  837.0
Block 1 Center Split points projected,  Block 1 Center Split_144 on object,  3.5,  0.1,  848.5
Block 1 Center Split points projected,  Block 1 Center Split_145 on object,  3.5,  0.1,  859.6
Block 1 Center Split points projected,  Block 1 Center Split_146 on object,  3.6,  0.1,  869.7
Block 1 Center Split points projected,  Block 1 Center Split_147 on object,  3.6,  0.1,  880.2
Block 1 Center Split points projected,  Block 1 Center Split_148 on object,  3.6,  0.1,  891.3
Block 1 Center Split points projected,  Block 1 Center Split_149 on object,  3.7,  0.1,  902.6
Block 1 Center Split points projected,  Block 1 Center Split_150 on object,  3.8,  0.1,  914.8
Block 1 Center Split points projected,  Block 1 Center Split_151 on object,  3.8,  0.1,  926.5
Block 1 Center Split points projected,  Block 1 Center Split_152 on object,  3.9,  0.1,  939.3
Block 1 Center Split points projected,  Block 1 Center Split_153 on object,  3.9,  0.1,  952.2
Block 1 Center Split points projected,  Block 1 Center Split_154 on object,  3.9,  0.1,  962.6
Block 1 Center Split points projected,  Block 1 Center Split_155 on object,  4.0,  0.1,  975.8
Block 1 Center Split points projected,  Block 1 Center Split_156 on object,  4.0,  0.1,  989.1
Block 1 Center Split points projected,  Block 1 Center Split_157 on object,  4.1,  0.1,  999.9
Block 1 Center Split points projected,  Block 1 Center Split_158 on object,  4.1,  0.1,  1010.7
Block 1 Center Split points projected,  Block 1 Center Split_159 on object,  4.2,  0.1,  1021.8
