// SpatialAnalyzer SA 2018.12.07_49785 ( x64 )  
// Points Relative to Coordinate Frame 'Block frame calcs 16Apr19::Primary with Y=0 at Nova Target'
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Group,  Point,  X,  Y,  Z

Block 1 Center Split points projected,  Block 1 Center Split_93 on object,  1381.5,  14617.2,  329.4
Block 1 Center Split points projected,  Block 1 Center Split_94 on object,  1381.7,  14617.2,  339.6
Block 1 Center Split points projected,  Block 1 Center Split_95 on object,  1381.8,  14617.2,  352.1
Block 1 Center Split points projected,  Block 1 Center Split_96 on object,  1382.0,  14617.2,  362.3
Block 1 Center Split points projected,  Block 1 Center Split_97 on object,  1382.1,  14617.2,  372.4
Block 1 Center Split points projected,  Block 1 Center Split_98 on object,  1382.2,  14617.2,  382.6
Block 1 Center Split points projected,  Block 1 Center Split_99 on object,  1382.4,  14617.2,  394.3
Block 1 Center Split points projected,  Block 1 Center Split_100 on object,  1382.6,  14617.2,  405.2
Block 1 Center Split points projected,  Block 1 Center Split_101 on object,  1382.8,  14617.2,  416.8
Block 1 Center Split points projected,  Block 1 Center Split_102 on object,  1382.9,  14617.2,  426.8
Block 1 Center Split points projected,  Block 1 Center Split_103 on object,  1383.1,  14617.2,  439.3
Block 1 Center Split points projected,  Block 1 Center Split_104 on object,  1383.2,  14617.2,  451.5
Block 1 Center Split points projected,  Block 1 Center Split_105 on object,  1383.4,  14617.2,  463.4
Block 1 Center Split points projected,  Block 1 Center Split_106 on object,  1383.5,  14617.2,  474.2
Block 1 Center Split points projected,  Block 1 Center Split_107 on object,  1383.7,  14617.2,  486.4
Block 1 Center Split points projected,  Block 1 Center Split_108 on object,  1383.9,  14617.2,  496.7
Block 1 Center Split points projected,  Block 1 Center Split_109 on object,  1384.0,  14617.2,  508.7
Block 1 Center Split points projected,  Block 1 Center Split_110 on object,  1384.2,  14617.1,  520.6
Block 1 Center Split points projected,  Block 1 Center Split_111 on object,  1384.4,  14617.1,  531.3
Block 1 Center Split points projected,  Block 1 Center Split_112 on object,  1384.5,  14617.1,  542.3
Block 1 Center Split points projected,  Block 1 Center Split_113 on object,  1384.7,  14617.1,  555.1
Block 1 Center Split points projected,  Block 1 Center Split_114 on object,  1384.9,  14617.1,  567.2
Block 1 Center Split points projected,  Block 1 Center Split_115 on object,  1385.0,  14617.1,  577.7
Block 1 Center Split points projected,  Block 1 Center Split_116 on object,  1385.2,  14617.1,  590.8
Block 1 Center Split points projected,  Block 1 Center Split_117 on object,  1385.3,  14617.1,  602.0
Block 1 Center Split points projected,  Block 1 Center Split_118 on object,  1385.5,  14617.1,  612.8
Block 1 Center Split points projected,  Block 1 Center Split_119 on object,  1385.7,  14617.1,  624.8
Block 1 Center Split points projected,  Block 1 Center Split_120 on object,  1385.9,  14617.1,  637.8
Block 1 Center Split points projected,  Block 1 Center Split_121 on object,  1386.1,  14617.1,  652.1
Block 1 Center Split points projected,  Block 1 Center Split_122 on object,  1386.3,  14617.1,  664.1
Block 1 Center Split points projected,  Block 1 Center Split_123 on object,  1386.4,  14617.1,  677.6
Block 1 Center Split points projected,  Block 1 Center Split_124 on object,  1386.6,  14617.1,  687.6
Block 1 Center Split points projected,  Block 1 Center Split_125 on object,  1386.8,  14617.0,  700.1
Block 1 Center Split points projected,  Block 1 Center Split_126 on object,  1387.0,  14617.0,  712.3
Block 1 Center Split points projected,  Block 1 Center Split_127 on object,  1387.1,  14617.0,  723.5
Block 1 Center Split points projected,  Block 1 Center Split_128 on object,  1387.3,  14617.0,  735.7
Block 1 Center Split points projected,  Block 1 Center Split_129 on object,  1387.5,  14617.0,  749.0
Block 1 Center Split points projected,  Block 1 Center Split_130 on object,  1387.6,  14617.0,  761.1
Block 1 Center Split points projected,  Block 1 Center Split_131 on object,  1387.8,  14617.0,  773.6
Block 1 Center Split points projected,  Block 1 Center Split_132 on object,  1388.0,  14617.0,  786.4
Block 1 Center Split points projected,  Block 1 Center Split_133 on object,  1388.1,  14617.0,  797.0
Block 1 Center Split points projected,  Block 1 Center Split_134 on object,  1388.3,  14617.0,  810.1
Block 1 Center Split points projected,  Block 1 Center Split_135 on object,  1388.5,  14617.0,  823.9
Block 1 Center Split points projected,  Block 1 Center Split_136 on object,  1388.6,  14617.0,  834.2
Block 1 Center Split points projected,  Block 1 Center Split_137 on object,  1388.8,  14617.0,  846.4
Block 1 Center Split points projected,  Block 1 Center Split_138 on object,  1388.8,  14617.0,  856.9
Block 1 Center Split points projected,  Block 1 Center Split_139 on object,  1389.1,  14617.0,  868.9
Block 1 Center Split points projected,  Block 1 Center Split_140 on object,  1389.3,  14616.9,  879.1
Block 1 Center Split points projected,  Block 1 Center Split_141 on object,  1389.5,  14616.9,  891.5
Block 1 Center Split points projected,  Block 1 Center Split_142 on object,  1389.6,  14616.9,  903.6
Block 1 Center Split points projected,  Block 1 Center Split_143 on object,  1389.8,  14616.9,  915.1
Block 1 Center Split points projected,  Block 1 Center Split_144 on object,  1389.9,  14616.9,  926.6
Block 1 Center Split points projected,  Block 1 Center Split_145 on object,  1390.1,  14616.9,  937.7
Block 1 Center Split points projected,  Block 1 Center Split_146 on object,  1390.2,  14616.9,  947.8
Block 1 Center Split points projected,  Block 1 Center Split_147 on object,  1390.4,  14616.9,  958.3
Block 1 Center Split points projected,  Block 1 Center Split_148 on object,  1390.5,  14616.9,  969.4
Block 1 Center Split points projected,  Block 1 Center Split_149 on object,  1390.7,  14616.9,  980.7
Block 1 Center Split points projected,  Block 1 Center Split_150 on object,  1390.9,  14616.9,  992.9
Block 1 Center Split points projected,  Block 1 Center Split_151 on object,  1391.0,  14616.9,  1004.6
Block 1 Center Split points projected,  Block 1 Center Split_152 on object,  1391.2,  14616.9,  1017.3
Block 1 Center Split points projected,  Block 1 Center Split_153 on object,  1391.3,  14616.9,  1030.3
Block 1 Center Split points projected,  Block 1 Center Split_154 on object,  1391.5,  14616.9,  1040.7
Block 1 Center Split points projected,  Block 1 Center Split_155 on object,  1391.7,  14616.9,  1053.9
Block 1 Center Split points projected,  Block 1 Center Split_156 on object,  1391.9,  14616.8,  1067.2
Block 1 Center Split points projected,  Block 1 Center Split_157 on object,  1392.0,  14616.8,  1078.0
Block 1 Center Split points projected,  Block 1 Center Split_158 on object,  1392.1,  14616.8,  1088.8
Block 1 Center Split points projected,  Block 1 Center Split_159 on object,  1392.3,  14616.8,  1099.9
Block 1 Center Split points projected,  Block 1 Center Split_160 on object,  1392.5,  14616.8,  1110.3
Block 1 Center Split points projected,  Block 1 Center Split_161 on object,  1392.6,  14616.8,  1120.4
Block 1 Center Split points projected,  Block 1 Center Split_162 on object,  1392.8,  14616.8,  1131.4
Block 1 Center Split points projected,  Block 1 Center Split_163 on object,  1393.0,  14616.8,  1143.6
Block 1 Center Split points projected,  Block 1 Center Split_164 on object,  1393.1,  14616.8,  1155.3
Block 1 Center Split points projected,  Block 1 Center Split_165 on object,  1393.0,  14616.8,  1167.8
Block 1 Center Split points projected,  Block 1 Center Split_166 on object,  1393.4,  14616.8,  1179.6
Block 1 Center Split points projected,  Block 1 Center Split_167 on object,  1393.6,  14616.8,  1191.9
Block 1 Center Split points projected,  Block 1 Center Split_168 on object,  1393.8,  14616.8,  1202.5
Block 1 Center Split points projected,  Block 1 Center Split_169 on object,  1392.9,  14616.8,  1213.9
Block 1 Center Split points projected,  Block 1 Center Split_170 on object,  1393.2,  14616.8,  1224.8
Block 1 Center Split points projected,  Block 1 Center Split_171 on object,  1393.7,  14616.8,  1236.8
Block 1 Center Split points projected,  Block 1 Center Split_172 on object,  1393.1,  14616.8,  1247.6
Block 1 Center Split points projected,  Block 1 Center Split_173 on object,  1394.4,  14616.7,  1257.5
Block 1 Center Split points projected,  Block 1 Center Split_174 on object,  1394.4,  14616.7,  1267.9
Block 1 Center Split points projected,  Block 1 Center Split_175 on object,  1394.7,  14616.7,  1278.4
Block 1 Center Split points projected,  Block 1 Center Split_176 on object,  1394.5,  14616.7,  1288.8
Block 1 Center Split points projected,  Block 1 Center Split_177 on object,  1395.0,  14616.7,  1300.4
Block 1 Center Split points projected,  Block 1 Center Split_178 on object,  1395.1,  14616.7,  1310.6
Block 1 Center Split points projected,  Block 1 Center Split_179 on object,  1395.2,  14616.7,  1321.9
Block 1 Center Split points projected,  Block 1 Center Split_180 on object,  1395.5,  14616.7,  1331.9
Block 1 Center Split points projected,  Block 1 Center Split_181 on object,  1395.9,  14616.7,  1342.0
Block 1 Center Split points projected,  Block 1 Center Split_182 on object,  1395.8,  14616.7,  1353.2
Block 1 Center Split points projected,  Block 1 Center Split_183 on object,  1396.1,  14616.7,  1363.7
Block 2 Center Split points projected,  Block 2 Center Split_1 on object,  1420.2,  18819.1,  -1152.3
Block 2 Center Split points projected,  Block 2 Center Split_2 on object,  1420.2,  18819.1,  -1141.1
Block 2 Center Split points projected,  Block 2 Center Split_3 on object,  1420.4,  18819.1,  -1131.0
Block 2 Center Split points projected,  Block 2 Center Split_4 on object,  1420.5,  18819.1,  -1120.1
Block 2 Center Split points projected,  Block 2 Center Split_5 on object,  1420.6,  18819.2,  -1109.0
Block 2 Center Split points projected,  Block 2 Center Split_6 on object,  1420.7,  18819.2,  -1098.8
Block 2 Center Split points projected,  Block 2 Center Split_7 on object,  1420.8,  18819.2,  -1084.8
Block 2 Center Split points projected,  Block 2 Center Split_8 on object,  1420.9,  18819.2,  -1073.8
Block 2 Center Split points projected,  Block 2 Center Split_9 on object,  1421.0,  18819.3,  -1062.2
Block 2 Center Split points projected,  Block 2 Center Split_10 on object,  1421.1,  18819.3,  -1051.6
Block 2 Center Split points projected,  Block 2 Center Split_11 on object,  1421.2,  18819.3,  -1040.8
Block 2 Center Split points projected,  Block 2 Center Split_12 on object,  1421.3,  18819.3,  -1029.0
Block 2 Center Split points projected,  Block 2 Center Split_13 on object,  1421.4,  18819.4,  -1016.3
Block 2 Center Split points projected,  Block 2 Center Split_14 on object,  1421.6,  18819.4,  -1004.5
Block 2 Center Split points projected,  Block 2 Center Split_15 on object,  1421.7,  18819.4,  -989.0
Block 2 Center Split points projected,  Block 2 Center Split_16 on object,  1421.8,  18819.5,  -977.9
